,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,geometry
115567,780900458,70,BROOKLYN,2018-06-10,16:00:00,06/10/2021,16:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,FRONT OF,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,06/18/2021,,25-44,BLACK,F,,25-44,BLACK,F,996189,172233,40.63941656100008,-73.95698309299998,"(40.63941656100008, -73.95698309299998)",POINT (-73.95698309299998 40.63941656100008),
119332,567233872,41,BRONX,2018-12-10,08:00:00,12/10/2018,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,06/15/2021,,UNKNOWN,UNKNOWN,U,,18-24,UNKNOWN,F,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)",POINT (-73.89529641399997 40.816391847000034),
119359,507019138,50,BRONX,2018-01-01,12:00:00,06/17/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO BRONX,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,06/17/2021,,UNKNOWN,WHITE HISPANIC,F,,45-64,WHITE HISPANIC,F,1011366,258934,40.877354909000076,-73.90194801099993,"(40.877354909000076, -73.90194801099993)",POINT (-73.90194801099993 40.877354909000076),
119825,190266380,103,QUEENS,2018-10-31,00:01:00,06/01/2021,18:22:00,COMPLETED,,,0,N.Y. POLICE DEPT,125,FELONY,INSIDE,NYS LAWS-UNCLASSIFIED FELONY,,PATROL BORO QUEENS SOUTH,847,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER,06/04/2021,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,E,1052143,197040,40.70725379300006,-73.75512158799995,"(40.70725379300006, -73.75512158799995)",POINT (-73.75512158799995 40.70725379300006),
121633,681886209,115,QUEENS,2018-01-01,20:00:00,01/01/2018,21:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,170,"SEXUAL MISCONDUCT,INTERCOURSE",RESIDENCE-HOUSE,06/08/2021,,,,,,<18,WHITE HISPANIC,F,1018699,215043,40.75686097700003,-73.87565666399996,"(40.75686097700003, -73.87565666399996)",POINT (-73.87565666399996 40.75686097700003),
123125,847892472,19,MANHATTAN,2018-11-30,12:00:00,05/20/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,06/04/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,M,998720,222392,40.77708734400005,-73.947755665,"(40.77708734400005, -73.947755665)",POINT (-73.947755665 40.77708734400005),
123410,819658326,43,BRONX,2018-06-01,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,06/07/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1020316,239179,40.82310129900002,-73.86969046099993,"(40.82310129900002, -73.86969046099993)",POINT (-73.86969046099993 40.82310129900002),
123869,225119475,43,BRONX,2018-06-01,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,06/07/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1020316,239179,40.82310129900002,-73.86969046099993,"(40.82310129900002, -73.86969046099993)",POINT (-73.86969046099993 40.82310129900002),
125017,492649740,90,BROOKLYN,2018-06-01,12:00:00,08/01/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,,RAPE,,PATROL BORO BKLYN NORTH,157,RAPE 1,RESIDENCE - APT. HOUSE,06/10/2021,,18-24,WHITE,M,,18-24,WHITE,F,997843,196573,40.70622201300005,-73.95097435599996,"(40.70622201300005, -73.95097435599996)",POINT (-73.95097435599996 40.70622201300005),
125680,766049941,43,BRONX,2018-06-01,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,06/07/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1020316,239179,40.82310129900002,-73.86969046099993,"(40.82310129900002, -73.86969046099993)",POINT (-73.86969046099993 40.82310129900002),
126164,388552814,114,QUEENS,2018-05-04,00:00:00,02/01/2020,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO QUEENS NORTH,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,06/11/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,1007917,225482,40.78554873300004,-73.91453785299996,"(40.78554873300004, -73.91453785299996)",POINT (-73.91453785299996 40.78554873300004),
126525,568157774,43,BRONX,2018-06-01,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,06/07/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1020316,239179,40.82310129900002,-73.86969046099993,"(40.82310129900002, -73.86969046099993)",POINT (-73.86969046099993 40.82310129900002),
132543,985790331,13,MANHATTAN,2018-09-01,00:00:00,06/03/2021,00:00:00,COMPLETED,,44306,2,N.Y. HOUSING POLICE,126,FELONY,INSIDE,MISCELLANEOUS PENAL LAW,,PATROL BORO MAN SOUTH,198,CRIMINAL CONTEMPT 1,RESIDENCE - PUBLIC HOUSING,06/03/2021,,25-44,BLACK,M,,25-44,BLACK,M,989738,209197,40.74088057900008,-73.98019709199998,"(40.74088057900008, -73.98019709199998)",POINT (-73.98019709199998 40.74088057900008),
134810,367856218,105,QUEENS,2018-03-25,13:00:00,03/26/2018,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESTAURANT/DINER,05/28/2021,,UNKNOWN,UNKNOWN,F,,65+,BLACK,F,1057606,200907,40.717824138000026,-73.73537534899998,"(40.717824138000026, -73.73537534899998)",POINT (-73.73537534899998 40.717824138000026),
135712,929712477,13,MANHATTAN,2018-08-07,00:00:00,08/28/2018,00:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",OTHER,05/29/2021,,UNKNOWN,UNKNOWN,M,,25-44,BLACK,F,988874,207673,40.736698070000045,-73.98331602599995,"(40.736698070000045, -73.98331602599995)",POINT (-73.98331602599995 40.736698070000045),
136274,602334788,47,BRONX,2018-09-20,00:01:00,08/18/2019,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BRONX,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,05/27/2021,,,,,,25-44,ASIAN / PACIFIC ISLANDER,F,1021249,257381,40.87305651100007,-73.86621898199996,"(40.87305651100007, -73.86621898199996)",POINT (-73.86621898199996 40.87305651100007),
137438,484634263,46,BRONX,2018-03-01,00:01:00,05/25/2021,11:11:00,COMPLETED,,36430,2,N.Y. HOUSING POLICE,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING,05/28/2021,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,M,1013072,251276,40.85633063300003,-73.89581193099998,"(40.85633063300003, -73.89581193099998)",POINT (-73.89581193099998 40.85633063300003),
138857,213218293,114,QUEENS,2018-07-17,12:00:00,12/15/2020,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS NORTH,434,"LARCENY,GRAND BY OPEN BANK ACCT",RESIDENCE - APT. HOUSE,05/26/2021,,65+,WHITE,M,,25-44,UNKNOWN,M,1000741,213250,40.751991376000035,-73.94048101399994,"(40.751991376000035, -73.94048101399994)",POINT (-73.94048101399994 40.751991376000035),
138937,639325380,66,BROOKLYN,2018-05-20,18:00:00,05/20/2021,00:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,596,OBSCENE MATERIAL - UNDER 17 YE,RESIDENCE - APT. HOUSE,05/27/2021,,25-44,AMERICAN INDIAN/ALASKAN NATIVE,M,,25-44,ASIAN / PACIFIC ISLANDER,F,986633,167258,40.62576896100006,-73.99141682199996,"(40.62576896100006, -73.99141682199996)",POINT (-73.99141682199996 40.62576896100006),
