,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,geometry
187073,987748526,111,QUEENS,2018-11-07,12:00:00,03/17/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO QUEENS NORTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,04/24/2021,,,,,,25-44,ASIAN / PACIFIC ISLANDER,M,1043780,217534,40.76356482400007,-73.78510420799995,"(40.76356482400007, -73.78510420799995)",POINT (-73.78510420799995 40.76356482400007),
187351,940659146,102,QUEENS,2018-07-06,17:00:00,07/16/2018,17:10:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO QUEENS SOUTH,101,ASSAULT 3,RESIDENCE - APT. HOUSE,04/16/2021,,25-44,WHITE,M,,25-44,WHITE,F,1030941,195748,40.70384484200008,-73.83160274599999,"(40.70384484200008, -73.83160274599999)",POINT (-73.83160274599999 40.70384484200008),
187375,246449017,44,BRONX,2018-09-24,23:00:00,02/28/2021,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - APT. HOUSE,04/09/2021,,,,,,25-44,WHITE HISPANIC,M,1006990,243663,40.83545295000005,-73.91782373999997,"(40.83545295000005, -73.91782373999997)",POINT (-73.91782373999997 40.83545295000005),
188745,214524610,122,STATEN ISLAND,2018-08-01,07:00:00,03/28/2021,07:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO STATEN ISLAND,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,04/09/2021,,,,,,45-64,WHITE,F,958298,157545,40.59907109200003,-74.09345463899997,"(40.59907109200003, -74.09345463899997)",POINT (-74.09345463899997 40.59907109200003),
190041,929091299,123,STATEN ISLAND,2018-07-01,09:00:00,04/07/2021,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO STATEN ISLAND,639,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,04/14/2021,,,,,,25-44,UNKNOWN,F,925769,137998,40.54526358800007,-74.21042221599998,"(40.54526358800007, -74.21042221599998)",POINT (-74.21042221599998 40.54526358800007),
190047,630133299,73,BROOKLYN,2018-02-06,06:00:00,02/06/2018,07:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,04/14/2021,,UNKNOWN,UNKNOWN,M,,45-64,BLACK,F,1008276,183623,40.670655072000045,-73.91339091999998,"(40.670655072000045, -73.91339091999998)",POINT (-73.91339091999998 40.670655072000045),
190320,525768134,123,STATEN ISLAND,2018-07-01,17:00:00,07/01/2018,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO STATEN ISLAND,101,ASSAULT 3,RESIDENCE-HOUSE,04/07/2021,,25-44,UNKNOWN,M,,25-44,UNKNOWN,F,916754,124405,40.50788943400005,-74.24272345499998,"(40.50788943400005, -74.24272345499998)",POINT (-74.24272345499998 40.50788943400005),
190667,234160409,110,QUEENS,2018-01-01,00:00:00,12/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,04/16/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1020255,210816,40.74525274100006,-73.87006286999997,"(40.74525274100006, -73.87006286999997)",POINT (-73.87006286999997 40.74525274100006),
192536,896741519,45,BRONX,2018-07-15,12:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,04/13/2021,,25-44,UNKNOWN,M,,18-24,BLACK,F,1032047,242037,40.83088999300003,-73.82728461999993,"(40.83088999300003, -73.82728461999993)",POINT (-73.82728461999993 40.83088999300003),
192612,706578236,105,QUEENS,2018-09-01,12:00:00,04/01/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,04/08/2021,,UNKNOWN,UNKNOWN,U,,45-64,BLACK,F,1055962,191046,40.69077160300003,-73.74141092699995,"(40.69077160300003, -73.74141092699995)",POINT (-73.74141092699995 40.69077160300003),
192657,764497160,14,MANHATTAN,2018-05-16,12:00:00,06/18/2018,12:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO MAN SOUTH,339,"LARCENY,PETIT FROM OPEN AREAS,",TRANSIT - NYC SUBWAY,04/07/2021,42 ST.-PORT AUTHORITY BUS TERM,45-64,BLACK,M,1,45-64,BLACK,F,987078,215157,40.757240531000036,-73.98979363699993,"(40.757240531000036, -73.98979363699993)",POINT (-73.98979363699993 40.757240531000036),
193393,828796150,44,BRONX,2018-03-09,08:00:00,04/14/2021,17:43:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,04/14/2021,,,,,,45-64,BLACK,M,1004530,242729,40.83289538100007,-73.92671649599998,"(40.83289538100007, -73.92671649599998)",POINT (-73.92671649599998 40.83289538100007),
198709,652886526,48,,2018-03-05,01:32:00,,,COMPLETED,,,,N.Y. POLICE DEPT,101,FELONY,INSIDE,MURDER & NON-NEGL. MANSLAUGHTER,,,,,,04/01/2021,,25-44,WHITE HISPANIC,M,,25-44,UNKNOWN,M,1014890,250841,40.85513056600007,-73.88924198299998,"(40.85513056600007, -73.88924198299998)",POINT (-73.88924198299998 40.85513056600007),
202786,517284350,46,BRONX,2018-09-01,16:00:00,09/01/2018,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BRONX,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,04/06/2021,,25-44,BLACK HISPANIC,M,,<18,WHITE HISPANIC,F,1011881,250411,40.85396027400003,-73.90012087499997,"(40.85396027400003, -73.90012087499997)",POINT (-73.90012087499997 40.85396027400003),
203282,611920402,48,,2018-03-05,01:32:00,,,COMPLETED,,,,N.Y. POLICE DEPT,101,FELONY,INSIDE,MURDER & NON-NEGL. MANSLAUGHTER,,,,,,04/01/2021,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,M,1014890,250841,40.85513056600007,-73.88924198299998,"(40.85513056600007, -73.88924198299998)",POINT (-73.88924198299998 40.85513056600007),
204618,129489951,46,BRONX,2018-09-01,20:00:00,03/01/2021,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,157,RAPE 1,RESIDENCE - APT. HOUSE,04/06/2021,,<18,BLACK HISPANIC,M,,<18,WHITE HISPANIC,F,1011881,250411,40.85396027400003,-73.90012087499997,"(40.85396027400003, -73.90012087499997)",POINT (-73.90012087499997 40.85396027400003),
